State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2005,,742,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2006,,1133,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2007,,1227,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2008,,1271,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2009,,1379,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2010,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2011,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2012,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2013,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2014,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2015,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2016,,1405,0
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2017,,1502,1867111.08
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2018,,1589,4667777.76
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2019,,1597,7558958.04
ID,ACAM,"CAMBRIDGE TELEPHONE COMPANY, INC.",2020,597,1631,10450138.32
ID,ACAM,"MARTELL ENTERPRISES, INC.",2008,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2009,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2010,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2011,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2012,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2013,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2014,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2015,,497,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2016,,551,0
ID,ACAM,"MARTELL ENTERPRISES, INC.",2017,,551,1148416.44
ID,ACAM,"MARTELL ENTERPRISES, INC.",2018,,551,2352768
ID,ACAM,"MARTELL ENTERPRISES, INC.",2019,,557,3827980.2
ID,ACAM,"MARTELL ENTERPRISES, INC.",2020,299,578,5303192.4
ID,ACAM,MUD LAKE TEL COOP,2012,,42,0
ID,ACAM,MUD LAKE TEL COOP,2013,,42,0
ID,ACAM,MUD LAKE TEL COOP,2014,,82,0
